country,emission,relative_percentage_emission
Canada,556830.0,23.997053175833056
Afghanistan,4780.0,0.2059980859157768
Sweden,38290.0,1.6501394790198942
Germany,732200.01,31.554769993203482
Iraq,155080.0,6.683301917116877
Malaysia,227620.0,9.809473706307347
New Zealand,32930.0,1.4191458094574332
Samoa,310.0,0.013359708500813978
Indonesia,517320.01,22.29433721044572
Spain,263450.01,11.35359786495654
India,2320409.91,100.0
Japan,1155229.98,49.78559930387472
Jamaica,7220.0,0.3111519205673449
Zimbabwe,10340.0,0.44561092225295656
Cuba,26240.0,1.130834680843093
Singapore,49140.0,2.1177292765483835
Nigeria,108500.0,4.675897975284892
Thailand,258820.01,11.154064154121803
Morocco,63520.0,2.737447367650658
Chile,87070.0,3.7523542553737843
