country,emission,relative_avg
Canada,556830.0,385636.36
Afghanistan,4780.0,-166413.64
Sweden,38290.0,-132903.64
Germany,732200.01,561006.37
Iraq,155080.0,-16113.640000000014
Malaysia,227620.0,56426.359999999986
New Zealand,32930.0,-138263.64
Samoa,310.0,-170883.64
Indonesia,517320.01,346126.37
Spain,263450.01,92256.37
India,2320409.91,2149216.27
Japan,1155229.98,984036.34
Jamaica,7220.0,-163973.64
Zimbabwe,10340.0,-160853.64
Cuba,26240.0,-144953.64
Singapore,49140.0,-122053.64000000001
Nigeria,108500.0,-62693.640000000014
Thailand,258820.01,87626.37
Morocco,63520.0,-107673.64000000001
Chile,87070.0,-84123.64000000001
